5'_PARTNER_GENE 3'_PARTNER_GENE
MLL GPHN
MLL GPHN
MLL KIAA0284
MLL KIAA0284
MLL KIAA1524
MLL KIAA1524
MLL LASP1
MLL LASP1
MLL LPP
MLL LPP
MLL MAML2
MLL MAML2
MLL MAPRE1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT1
MLL MLLT10
MLL MLLT10
MLL MLLT10
MLL MLLT10
MLL MLLT10
MLL MLLT11
MLL MLLT11
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT3
MLL MLLT4
MLL MLLT4
MLL MLLT4
MLL MLLT4
MLL MLLT4
MLL MLLT4
MLL MLLT6
MLL MLLT6
MLL MYO1F
MLL NCKIPSD
MLL NCKIPSD
MLL NEBL
MLL PICALM
MLL PDS5A
MLL SACM1L
MLL SEPT11
MLL SEPT2
MLL SEPT2
MLL SEPT2
MLL SEPT5
MLL SEPT5
MLL SEPT5
MLL SEPT6
MLL SEPT6
MLL SEPT9
MLL SEPT9
MLL SH3GL1
MLL SORBS2
MLL TET1
